English,Tibetan,THL Phonetics
food,ཁ་ལག,kha lak
dharma,ཆོས།,chö
mala,ཕྲེང་བ།,threng wa
buddhist,ནང་པ།,nang pa
dharma teaching,གསུང་ཆོས།,sungchö
warm,དྲོ་པོ།,tro po
cold,གྲངས་མོ།,drang mo
hot,ཚ་པོ།,tsa po
shiny,འོད་འཚེར་འཚེར།,ö tsher tsher
