English,Tibetan,THL Phonetics
hat,ཞ་མོ།,zha mo
scarf,སྐེ་དཀྲིས།,ke tri
mask,ཁ་རས།,kha re
coat,སྟོད་ཐུང།,tö thung
shirt,འོག་འཇུག,ok juk
sweater,བལ་གོས།,bal gö
trousers,གོས་ཐུང།,gö thung
undergarments,ནང་འཇམ།,nang jam
underpants,ཨང་རག,ang rak
socks,རྐང་སུག,kang suk
shoes,ལྷམ།,lham
shoelaces,ལྷམ་སྒྲོག,lham drok
