English,Tibetan,THL Phonetics
electricity,གློག,log
lightning,གློག་འཁྱུད།,log khyü
electric power plant,གློག་ཁང།,log khang
email,གློག་འཕྲིན།,log trin
electric stove,གློག་ཐབ།,log thap
xray,གློག་པར།,log par
torch,གློག་བཞུ།,log zhu
movie,གློག་བརྙན།,log nyen
movie hall,གློག་བརྙན་ཁང།,log nyen khang
