English,Tibetan,THL Phonetics
monday,ཟླ་བ།,da wa
tuesday,མིག་དམར།,mik mar
wednesday,ལྷགས་པ།,lhak pa 
thursday,ཕུར་བུ།,phur pu
friday,པ་སངས།,pa sang
saturday,སྤེན་པ།,pen pa
sunday,ཉི་མ།,nyi ma
