English,Tibetan,THL Phonetics
black,ནག་པོ།,nak po
white,དཀར་པོ།,kar po
red,དམར་པོ།,marpo
yellow,སེར་པོ།,ser po
green ,ལྗང་ཁུ།,jang khu
blue,སྔོན་པོ།,ngön po
pink,ཟིང་སྐྱ།,zing kya
gray,སྐྱ་སྐྱ།,kya kya 
orange,ལི་ལྦང།,li wang
purple,མུ་མེན།,mun mein
