English,Tibetan,THL Phonetics
father,པ་ལགས།,pala
mother,ཨ་མ་ལགས།,amala
daughter,བུ་མོ།,phumo
son,བུ།,phu
grandfather,སྤོ་སྤོ།,popo
grandmother,རྨོ་རྨོ།,momo
older sister,ཨ་ཅག,acha
older brother,གཅེན་པོ།,chocho
younger sister,གཅུང་མོ།,chungmo
younger brother,གཅུང་པོ།,chungpo
maternal aunt,ཨ་ནེ,anä
maternal uncle,ཨ་ཁུ།,akhu
paternal aunt ,ཨ་སྲུ།,asu
paternal uncle,ཨ་ཞང།,azhang
