English,Tibetan,THL Phonetics
hospital,སྨན་པ།,men khang
doctor,སྨན་ཁང།,men pa
nurse,སྨན་ཞབས་མ།,men shap
patient,ནད་པ།,ne pa
illness,ན་ཚ།,na tsha
ambulance,ནད་པ་འདྲེན་འཁོར།,ne pa dren khor
medicine,སྨན།,men
medicinal tea,སྨན་ཇ།,men ja
medicinal herb,སྨན་རྩ།,men tsa
prescription,སྨན་ཡིག,men yig
treatment,སྨན་བཅོས།,men chö
