English,Tibetan,THL Phonetics
notebook,འབྲི་དེབ།,dri deb
textbook,སློབ་དེབ།,lob deb
tibetan style book,དཔེ་ཆ།,pe cha
story book,སྒྲུང་དེབ།,drung deb
history book,ལོ་རྒྱུས་དེབ་ཐེར།,lo gyu deb ther
prayer book,ཞལ་འདོན་དཔེ་ཆ།,zhal don pe cha
language textbook,སྐད་ཡིག་དེབ།,ke yig deb
diary,ཉིན་ཐོ།,nyin tho
poetry book,སྙན་ངག་དེབ།,nyen ngag deb
pen,སྨྱུ་གུ།,nyu gu
ink,སྣག་ཚ།,nag tsha
book,དེབ།,deb
