English,Tibetan,THL Phonetics
direction,ཕྱོགས།,chog
east,ཤར་ཕྱོགས།,shar chog
south,ལྷོ་ཕྱོགས།,lho chog
west,ནུབ་ཕྱོགས།,nub chog
north,བྱང་ཕྱོགས།,jang chog
northeast,བྱང་ཤར།,jang shar
north west,ནུབ་བྱང།,nub jang
southwest,ལྷོ་ནུབ།,lho nub
southeast,ལྷོ་ཤར།,lho shar
