English,Tibetan,THL Phonetics
hill,དེའུ་འབུར།,deu bur
snowy mountains,གངས་རི།,gang ri
mountain,རི།,ri
ocean,རྒྱ་མཚོ།,gya mtsho
lake,མཚེའུ།,tsheu
river,གཙང་པོ།,tsang po
forest,ནགས་ཚལ།,nak tshal
plain,ཐང།,thang
valley,ལུང་པ།,lung pa
