English,Tibetan,THL Phonetics
public transport,སྤྱི་སྤྱོད་འགྲིམ་འགྲུལ།,chi chod dim dul
taxi,གླ་འཁོར།,gla khor
train,མེ་འཁོར།,me khor
bus,སྤྱི་སྤྱོད་རླངས་འཁོར།,chi chod lang khor
train station,མེེ་འཁོར་འབབ་ཚིགས།,me khor bub tsig
motorway,མྱུར་ལམ།,nyur lam
airplane,གནམ་གྲུ།,nam du
helicopter,ཐད་འཕུར་གནམ་གྲུ།,thä phur nam du
bullet train,མྱུར་འགྲོས་མེ་འཁོར།,nyur dö me khor
airport ,གནམ་ཐང།,nam thang
ship,གྲུ་གཟིངས།,du zeng
bicycle,རྐང་འཁོར།,kang khor
