English,Tibetan,THL Phonetics
rocky mountain,རྫ་རི།,dza ri
forest mountain,ནགས་རི།,nak ri
meadow mountain,སྤང་རི།,pang ri
mount meru,རི་རྒྱལ།,ri gyel
sacred mountain,གནས་རི།,ne ri
snowy mountain,གངས་རི།,gang ri
rock mountain,བྲག་རི།,drak ri
valley,ལུང་པ།,lung pa
mountain range ,རི་རྒྱུད།,ri gyü
