English,Tibetan,THL Phonetics
money ,དངུལ།,ngul
money ,སྒོར་མོ།,gor mo
money ,པད་ཤག,pad shag
paper money,དངུལ་ལོར།,gnul lor
paper money,ཤོག་དངུལ།,shog gnul
coins,ཏམ་ཀ,tam ka
coins,ཏམ་སྒོར།,tam gor 
coins,ལྕགས་སྒོར།,chag gor
