English,Tibetan,THL Phonetics
types of drinks,བཏུང་བའི་རིགས།,tung wä rig
milk,འོ་མ།,ao ma
tea,ཇ།,ja
water,ཆུ།,chu
coffee,འཚིག་ཇ།,tsig ja
alcohol,ཆང།,chang
juice,ཤིང་ཏོག་ཁུ་བ།,shing tog khu wa
water,ཆུ།,chu
sweet tea,མངར་ཇ།,ngar ja
tea garden,ཇ་ཞིང།,ja shing
butter tea,བོད་ཇ།,bö ja
tea leaf,ཇ་ལོ།,ja lo
tea shop,ཇ་ཁང།,ja khang
black tea,ཇ་ཐང།,ja dang
tea strainer,ཇ་ཚགས།,ja tsak
