English,Tibetan,THL Phonetics
apple,ཀུ་ཤུ།,kushu
orange,ཚ་ལུ་མ།,tsha-luma
pear,ལི།,le
banana,ངང་ལག,ngang-lag
mango,ཨམ།,am
apricot,མངའ་རིས་ཁམ་བུ།,nga ri kham bu
grape,རྒུན་འབྲུམ།,gundrum
cherry,སེའུ།,sey au
raspberry,རི་སེ།,ri se
strawberry,ས་སེའུ།,sasewu
peach,ཁམ་བུ།,khambu
pineapple,ཐང་འབྲས།,thang-drey
fruit,ཤིང་ཏོག,shing-tog
jackfruit,གྲོད་བཏུམས་ཤིང་ཏོག,drod tum shing tok
kiwi,སྤྲེལ་ཁམ།,trel kham
watermelon,ཆུ་ག་གོན།,chu ga gon
tomato,ལྡུམ་སྒོང།,dhum gong 
