English,Tibetan,THL Phonetics
moment,སྐད་ཅིག་མ།,ke chik ma
second,སྐར་ཆ།,kar cha
minute,སྐར་མ།,kar ma
hour,ཆུ་ཚོད།,chu tshö
day,ཉི་མ།,nyi ma
week,བདུན་ཕྲག,dün trak
month,ཟླ་བ།,da wa
year,ལོ།,lo
century,དུས་རབས།,dü rap
aeon,བསྐལ་པ།,kel pa
