English,Tibetan,THL Phonetics
black tent,སྦྲ་གུར།,dra gur
variegated tent,ཁྲ་པོག,tra pog
lama's tent,བླ་གུར།,la gur
assembly tent,ཚོགས་གུར།,tsok gur
pa tra style tent,གུར་པ་ཏྲ་མ།,gur pa tra ma
person tent,ཅོག་པུ།,chog pur
axe style tent,ཐུན་སྦྲ།/ རྡོ་སྟ་མ།,thun dra/dho ta ma
black head,ཀླད་ནག,lai nag
small variegated tent,སྦྲེའུ་ཁྲ།,deu tra
