English,Tibetan,THL Phonetics
one,གཅིག,chik
two,གཉིས།,nyi
three,གསུམ།,sum
four ,བཞི།,zhi
five,ལྔ།,nga
six,དྲུག,truk
seven,བདུན,dün
eight ,བརྒྱད,gye
nine,དགུ།,gu
ten,བཅུ།,chu
