English,Tibetan,THL Phonetics
photo,པར།,par
photographer,པར་པ།,par pa
camera,པར་ཆས།,par che
photocopy,པར་སློག,par log
publication,པར་སྐྲུན།,par trun
publishing house,པར་སྐྲུན་ཁང།,par trun khang
