English,Tibetan,THL Phonetics
keyboard,མཐེབ་གཞོང།,thepshong
laptop,ལག་འཁྱེར་རྩིས་འཕྲུལ།,lak khyer tsetrul
smartphone,སྤྱོད་བདེའི་ཁ་པར།,chod dhey kha par
printer,པར་སྐྲུན་འཕྲུལ་འཁོར།,par trun trul khor
smartwatch,སྤྱོད་བདེའི་ཆུ་ཚོད།,chod dhey chu tsod
flashdrive,མཐེབ་སྡེར།,thepther
